Cube Number,Solve Time (ms),Number of Moves
589,0.5853,184
590,0.7537,148
591,0.4865,211
592,0.3966,232
593,0.5591,165
594,0.9085,234
595,0.417,170
596,0.629,191
597,0.4701,188
598,0.4371,225
599,0.7078,226
600,0.4738,162
601,0.5103,212
602,0.4216,179
603,0.379,194
604,0.4755,135
605,0.4609,177
606,0.4416,177
607,0.7974,219
608,0.4744,186
609,0.5057,197
610,0.4706,195
611,0.4798,189
612,0.5107,165
613,0.5189,210
614,0.4922,209
615,0.7764,196
616,0.5036,193
617,0.4274,190
618,0.4739,194
619,0.4418,186
620,0.5183,189
621,0.4489,169
622,0.7294,211
623,0.8782,211
624,0.312,171
625,0.7203,248
626,0.4513,170
627,0.7268,203
628,0.3277,185
629,0.4429,160
630,0.543,182
631,0.5863,204
632,0.7086,198
633,0.6453,220
634,0.5733,193
635,0.4966,212
636,0.6623,216
637,0.5844,217
638,0.6965,187
639,0.3147,168
640,0.4939,218
641,0.5254,174
642,0.5842,214
643,0.5449,202
644,0.6287,166
645,0.386,230
646,0.4429,200
647,0.6834,172
648,0.4302,160
649,0.3915,171
650,0.6569,252
651,0.4058,237
652,0.5552,234
653,0.5599,194
654,0.4967,203
655,0.6762,216
656,0.4831,181
657,0.4781,199
658,0.4563,182
659,0.5871,172
660,0.6257,219
661,0.5802,172
662,0.4672,187
663,0.4683,199
664,0.7279,187
665,0.4667,167
666,0.6126,170
667,0.7748,193
668,0.9728,254
669,0.7381,241
670,0.4478,172
671,0.6868,181
672,0.5113,243
673,0.6628,202
674,0.56,154
675,0.4728,177
676,0.4135,261
677,0.4579,186
678,0.4572,209
679,0.4526,181
680,0.4033,245
681,0.3909,161
682,0.6178,210
683,0.3686,161
684,0.4305,172
685,0.4244,147
686,0.4546,191
687,0.4288,189
688,0.417,181
689,0.4631,202
690,0.4769,186
691,0.4235,183
692,0.5608,151
693,0.5016,182
694,0.3267,117
695,0.6975,261
696,0.5227,141
697,0.5967,190
698,0.4064,197
699,0.4473,181
700,0.2519,151
701,0.7852,192
702,0.4034,153
703,0.6833,207
704,0.5078,187
705,0.6124,170
706,0.6212,227
707,0.5327,236
708,0.8261,207
709,0.5152,212
710,0.4309,177
711,0.663,204
712,0.4455,181
713,0.7013,234
714,0.7076,213
715,0.4814,191
716,0.5349,152
717,0.6007,189
718,0.5361,235
719,0.4503,192
720,0.4213,206
721,0.6103,204
722,0.4631,196
723,0.6606,229
724,0.7342,201
725,0.4706,189
726,0.6933,192
727,0.4082,170
728,0.279,146
729,0.6771,190
730,1.1544,214
731,0.4911,198
732,0.661,240
733,0.6574,211
734,0.6156,193
735,0.463,287
736,0.6134,279
737,0.486,202
738,0.5073,211
739,0.6001,172
740,0.7431,185
741,0.623,228
742,0.4275,179
743,0.6419,144
744,0.8909,211
745,0.5577,120
746,0.6966,164
747,0.8174,197
748,0.6065,159
749,0.7725,253
750,0.6301,182
751,0.7734,190
752,0.9925,239
753,0.933,232
754,0.6298,178
755,0.664,212
756,0.6011,187
757,0.617,188
758,0.6424,188
759,0.4626,188
760,0.5367,179
761,0.4967,235
762,0.492,234
763,0.3638,202
764,0.7304,196
765,0.3908,233
766,0.5575,224
767,0.4199,178
768,0.5496,212
769,0.468,184
770,0.7823,180
771,0.613,201
772,0.8295,233
773,0.5456,173
774,0.5111,208
775,0.4384,181
776,0.7054,218
777,0.7473,230
778,0.7287,197
779,0.4737,233
780,0.498,189
781,0.4899,202
782,0.4388,198
783,0.6596,209
784,0.3871,208
785,0.6432,239
786,0.5169,228
787,0.71,161
788,0.8904,227
789,0.4647,160
790,0.8136,208
791,0.8801,203
792,0.7246,214
793,0.6665,178
794,0.8254,234
795,0.7362,182
796,1.0226,253
797,0.9523,229
798,0.4759,171
799,0.4901,207
800,0.8767,260
801,0.7953,210
802,0.4377,194
803,0.7047,258
804,0.4492,207
805,0.4415,197
806,0.5732,207
807,0.5515,224
808,0.4601,189
809,0.4454,180
810,0.45,185
811,0.4466,188
812,0.3803,154
813,0.4941,215
814,0.3945,242
815,0.4876,185
816,0.823,233
817,0.6156,158
818,0.3414,205
819,0.4455,191
820,0.4104,172
821,0.4556,182
822,0.7189,183
823,0.7307,180
824,0.4131,188
825,0.7318,250
826,0.4729,277
827,0.7261,167
828,0.4477,267
829,0.7946,267
830,0.4875,201
831,0.6495,168
832,0.8956,195
833,0.9162,222
834,0.7636,189
835,0.4672,188
836,0.5839,234
837,0.4578,178
838,0.4549,208
839,0.686,152
840,0.7356,197
841,0.7762,187
842,0.4881,207
843,0.6678,183
844,0.4333,191
845,0.4701,205
846,0.5298,211
847,0.5087,223
848,0.5234,212
849,0.4795,209
850,0.4396,155
851,0.4413,190
852,0.485,193
853,0.4452,195
854,0.9039,193
855,0.4383,209
856,0.5331,176
857,0.3736,166
858,0.7271,181
859,1.0511,214
860,0.8978,238
861,0.7446,204
862,0.5229,235
863,0.749,204
864,0.5599,179
865,0.5081,213
866,0.4595,196
867,0.7599,229
868,0.6819,193
869,0.9708,237
870,0.6153,166
871,0.8301,198
872,0.8073,205
873,0.8021,190
874,0.5858,232
875,0.7239,306
876,0.6129,268
877,0.4905,191
878,0.8825,221
879,0.7499,250
880,0.542,171
881,0.5368,207
882,0.4793,287
883,0.6871,212
884,0.7052,189
885,0.6529,223
886,0.6079,140
887,0.7809,201
888,0.6196,204
889,1.0444,276
890,0.5593,155
891,0.6971,196
892,0.4609,283
893,0.6842,311
894,0.4245,172
895,0.5281,222
896,0.4669,197
897,0.4397,190
898,0.5027,159
899,0.4176,167
900,0.5834,193
901,0.4669,147
902,0.789,210
903,0.51,193
904,0.8896,179
905,0.8016,187
906,1.1576,211
907,0.52,223
908,0.5772,200
909,0.8186,213
910,0.727,180
911,0.6657,164
912,0.5879,206
913,0.6338,165
914,0.3848,156
915,0.4536,204
916,0.541,263
917,0.3866,189
918,0.4095,243
919,0.4249,195
920,0.3887,158
921,0.4109,165
922,0.4289,203
923,0.4767,198
924,0.6355,197
925,0.4697,187
926,0.9463,208
927,0.526,195
928,0.7538,166
929,0.7496,193
930,0.4379,267
931,0.471,195
932,0.4806,194
933,0.462,184
934,0.5424,189
935,0.4788,206
936,0.5061,216
937,0.7856,199
938,0.7168,181
939,0.7281,195
940,0.3661,214
941,0.5353,220
942,0.6022,193
943,0.5609,158
944,0.8947,187
945,0.494,215
946,0.5058,174
947,0.4078,177
948,0.3603,188
949,0.8554,193
950,0.7211,259
951,0.8792,226
952,0.6573,166
953,0.9434,237
954,0.4226,179
955,0.731,189
956,0.6228,171
957,0.3502,154
958,0.4344,182
959,0.7911,201
960,0.4798,210
961,0.7309,254
962,0.435,187
963,0.4395,203
964,0.4074,202
965,0.5697,246
966,0.4119,194
967,0.558,244
968,0.6346,172
969,0.9806,196
970,0.459,195
971,0.5699,227
972,0.7104,193
973,0.4457,215
974,0.4645,187
975,0.4888,201
976,0.5932,247
977,0.5399,180
978,0.7848,233
979,0.4862,196
980,0.5155,216
981,0.8335,221
982,0.802,219
983,0.7017,221
984,0.6096,186
985,0.6503,253
986,0.4547,198
987,0.823,282
988,0.4706,179
989,0.4444,180
990,0.4386,189
991,0.3861,150
992,0.8535,212
993,0.9276,198
994,0.423,179
995,0.4289,174
996,0.5308,236
997,0.3496,211
998,0.7475,166
999,0.4535,238
