Cube Number,Solve Time (ms),Number of Moves
469,3.2053,343
470,9.1887,790
471,4.0817,350
472,1.9763,436
473,4.5142,405
474,2.8515,452
475,5.6209,523
476,5.2653,800
477,6.737,603
478,4.9689,304
479,7.1806,626
480,3.4872,348
481,3.0737,359
482,3.569,338
483,3.5279,404
484,7.1794,688
485,6.601,707
486,5.8694,494
487,4.0872,517
488,2.7353,339
489,4.7464,477
490,6.0458,539
491,1.8198,302
492,2.0508,401
493,2.6948,270
494,5.0084,553
495,1.7596,199
496,3.2579,391
497,8.3804,674
498,1.6783,201
499,2.433,838
500,3.1523,296
501,2.6923,308
502,3.9971,482
503,4.5743,388
504,7.4657,576
505,4.2766,467
506,3.5855,318
507,4.7356,525
508,4.8378,458
509,2.4623,292
510,3.0127,264
511,4.8807,449
512,8.3722,710
513,5.0557,435
514,2.4157,315
515,5.3075,478
516,5.1614,474
517,5.1179,545
518,10.7702,684
519,2.6003,270
520,3.8768,331
521,11.5716,907
522,2.1511,203
523,2.2315,428
524,2.314,288
525,2.5028,279
526,2.2922,301
527,3.9333,309
528,3.7315,389
529,5.5108,386
530,8.6616,786
531,3.8313,398
532,2.3087,277
533,2.4547,287
534,2.302,314
535,4.0314,465
536,5.281,333
537,5.9439,539
538,4.5582,360
539,4.1503,458
540,2.3259,360
541,3.5831,364
542,3.0056,348
543,8.3064,724
544,2.8894,361
545,4.0816,277
546,4.2661,354
547,4.9711,406
548,7.9571,682
549,5.1946,484
550,5.0724,485
551,5.9738,472
552,3.3228,471
553,3.4789,499
554,2.8233,375
555,1.8178,251
556,1.9654,216
557,2.2781,407
558,2.6389,342
559,3.3392,350
560,7.7875,711
561,2.2649,238
562,1.9819,276
563,6.4966,587
564,3.7516,345
565,3.943,356
566,2.79,365
567,3.2804,278
568,3.4909,316
569,3.9421,309
570,1.4594,171
571,5.6581,586
572,8.3003,645
573,5.2133,373
574,9.6554,715
575,3.7199,378
576,3.0713,358
577,4.3722,377
578,5.4158,507
579,6.1778,394
580,8.593,551
581,2.9208,364
582,8.9651,707
583,4.6608,404
584,5.5945,444
585,4.181,349
586,4.4858,450
587,2.4293,282
588,2.1554,250
589,2.0912,398
590,5.8699,540
591,7.1395,783
592,3.8561,393
593,2.6923,348
594,5.5997,549
595,4.0156,364
596,5.2711,472
597,3.613,373
598,5.3237,551
599,1.7735,214
600,2.8614,326
601,9.2733,806
602,8.0976,641
603,4.7875,470
604,3.4115,410
605,3.8493,371
606,2.3751,239
607,3.9069,321
608,4.5147,390
609,4.4801,431
610,3.4059,366
611,7.2536,612
612,2.9986,346
613,6.6413,679
614,5.7373,374
615,4.1043,306
616,5.7431,252
617,9.6301,701
618,9.1008,705
619,2.0288,270
620,3.5603,304
621,5.0653,478
622,3.7941,429
623,4.8201,711
624,3.4344,348
625,3.1094,334
626,2.736,315
627,3.5739,418
628,4.0554,491
629,2.7588,297
630,2.1258,258
631,4.0017,283
632,4.8745,551
633,5.6214,531
634,2.4481,214
635,2.0757,230
636,4.9062,383
637,3.3514,408
638,2.2919,360
639,4.5166,376
640,7.1152,516
641,4.5732,387
642,2.0867,314
643,2.165,227
644,5.2648,598
645,4.4706,388
646,10.0672,832
647,3.1723,358
648,4.6855,481
649,5.6548,473
650,3.1002,396
651,4.2492,383
652,6.5757,601
653,2.1972,557
654,5.2926,733
655,2.269,263
656,3.9053,451
657,3.5502,372
658,3.6733,395
659,2.0549,361
660,3.2534,342
661,5.839,375
662,4.8378,403
663,4.527,367
664,5.4718,432
665,3.0891,340
666,4.8922,442
667,4.1916,307
668,0.6908,300
669,2.9778,398
670,3.3337,336
671,5.4402,440
672,7.0317,430
673,4.1697,355
674,5.2671,424
675,4.4275,385
676,3.2853,601
677,2.8531,274
678,2.7458,295
679,2.0412,258
680,3.4751,281
681,4.2203,374
682,4.3771,450
683,3.424,423
684,4.5197,501
685,4.3107,448
