Cube Number,Solve Time (ms),Number of Moves
500,0.4077,178
501,0.4513,190
502,0.4073,174
503,0.3617,158
504,0.4175,188
505,0.4459,200
506,0.4035,170
507,0.3245,144
508,0.4914,204
509,0.4908,216
510,0.482,214
511,0.4292,180
512,0.4769,202
513,0.396,198
514,0.3284,126
515,0.4288,188
516,0.5427,224
517,0.4455,164
518,0.3937,232
519,0.3901,164
520,0.4886,216
521,0.3364,208
522,0.4166,200
523,0.462,190
524,0.4625,222
525,0.412,194
526,0.3669,148
527,0.431,184
528,0.4376,176
529,0.468,200
530,0.3327,160
531,0.499,200
532,0.306,122
533,0.386,180
534,0.4571,212
535,0.4108,186
536,0.4305,208
537,0.3489,162
538,0.4414,186
539,0.4039,132
540,0.3705,172
541,0.4497,196
542,0.43,184
543,0.4771,262
544,0.427,178
545,0.4299,170
546,0.3502,126
547,0.4625,204
548,0.4886,196
549,0.4835,202
550,0.5163,218
551,0.4782,180
552,0.406,174
553,0.4079,172
554,0.5154,236
555,0.4384,184
556,0.3738,156
557,0.4601,222
558,0.4905,210
559,0.2976,148
560,0.4307,280
561,0.3803,164
562,0.4078,178
563,0.3972,192
564,0.424,180
565,0.3915,168
566,0.4686,154
567,0.4176,172
568,0.3495,142
569,0.4488,212
570,0.3679,178
571,0.3777,172
572,0.3599,144
573,0.5288,230
574,0.3302,150
575,0.4079,172
576,0.4627,210
577,0.3596,140
578,0.4101,158
579,0.3983,226
580,0.553,270
581,0.3779,158
582,0.4048,172
583,0.4179,204
584,0.3666,152
585,0.4116,180
586,0.3188,184
587,0.4861,214
588,0.4904,216
589,0.3693,156
590,0.4223,260
591,0.4074,242
592,0.4344,194
593,0.4182,174
594,0.411,158
595,0.3797,180
596,0.3835,152
597,0.3902,150
598,0.3076,188
599,0.3307,140
600,0.2599,152
601,0.4937,228
602,0.5679,232
603,0.3386,214
604,0.4688,200
605,0.3916,152
606,0.3575,190
607,0.5222,238
608,0.4274,198
609,0.3648,136
610,0.409,192
611,0.4215,198
612,0.4419,170
613,0.3907,158
614,0.3652,154
615,0.397,212
616,0.3299,192
617,0.4201,176
618,0.2597,164
619,0.4418,212
620,0.3761,158
621,0.3234,192
622,0.4091,170
623,0.3388,204
624,0.3459,150
625,0.4198,168
626,0.4174,176
627,0.2942,126
628,0.3829,148
629,0.3503,166
630,0.3961,158
631,0.3576,174
632,0.3701,172
633,0.4251,188
634,0.4138,178
635,0.4065,146
636,0.4311,208
637,0.414,168
638,0.4526,190
639,0.2864,130
640,0.459,222
641,0.3849,182
642,0.4319,206
643,0.4847,206
644,0.3955,156
645,0.4753,202
646,0.4368,176
647,0.4128,190
648,0.3827,160
649,0.3987,178
650,0.4477,292
651,0.376,218
652,0.4553,226
653,0.4435,174
654,0.4306,262
655,0.3834,164
656,0.4536,190
657,0.3336,142
658,0.4347,186
659,0.4477,194
660,0.3893,168
661,0.4543,170
662,0.451,188
663,0.4302,206
664,0.4025,188
665,0.4057,192
666,0.4402,200
667,0.5013,192
668,0.3796,184
669,0.4301,184
670,0.3882,160
671,0.3814,188
672,0.3577,136
673,0.423,128
674,0.3301,208
675,0.4184,150
676,0.4358,180
677,0.465,218
678,0.5891,276
679,0.5199,244
680,0.5214,218
681,0.4572,178
682,0.4227,174
683,0.3879,176
684,0.4039,224
685,0.4079,180
686,0.4343,182
687,0.4039,190
688,0.4534,198
689,0.4472,224
690,0.4091,180
691,0.5058,202
692,0.4094,172
693,0.4633,198
694,0.462,186
695,0.3585,178
696,0.3674,156
697,0.4487,176
698,0.3684,148
699,0.4042,172
700,0.4943,226
701,0.4079,176
702,0.4499,190
703,0.4517,206
704,0.4596,186
705,0.3554,158
706,0.4003,194
707,0.4588,224
708,0.3921,218
709,0.4177,172
710,0.4432,188
711,0.4587,206
712,0.3809,152
713,0.4262,164
714,0.5392,194
715,0.5555,232
716,0.4853,200
717,0.4371,170
718,0.5556,246
719,0.3677,170
720,0.4577,204
721,0.407,198
722,0.3814,170
723,0.3339,200
724,0.384,194
725,0.4559,222
726,0.4406,190
727,0.4378,186
728,0.4736,190
729,0.3597,228
730,0.3884,174
731,0.4204,182
732,0.5135,192
733,0.4611,176
734,0.4684,204
735,0.5096,204
736,0.3819,158
737,0.3553,188
738,0.4094,194
739,0.4001,168
740,0.3681,132
741,0.4573,198
742,0.4164,194
743,0.3522,122
744,0.3144,148
745,0.3392,166
746,0.4326,188
747,0.3277,182
748,0.5012,228
749,0.4957,200
750,0.4845,222
751,0.38,178
752,0.4177,186
753,0.6392,276
754,0.394,164
755,0.4926,192
756,0.3584,146
757,0.3459,140
758,0.3936,164
759,0.3395,164
760,0.408,174
761,0.4045,204
762,0.6535,304
763,0.5255,216
764,0.4756,200
765,0.3841,160
766,0.5012,198
767,0.52,232
768,0.4916,200
769,0.3962,172
770,0.3924,186
771,0.3646,180
772,0.3855,146
773,0.3755,168
774,0.3442,142
775,0.4155,158
776,0.5076,230
777,0.3483,152
778,0.4597,184
779,0.4735,214
780,0.4163,172
781,0.4085,170
782,0.4668,196
783,0.4994,214
784,0.417,164
785,0.5333,254
786,0.3607,156
787,0.4258,178
788,0.4752,204
789,0.5395,212
790,0.4522,196
791,0.3812,176
792,0.382,184
793,0.4014,188
794,0.4056,168
795,0.3879,156
796,0.4501,176
797,0.4027,200
798,0.3909,200
799,0.54,224
800,0.4041,172
801,0.4829,204
802,0.4787,200
803,0.4152,174
804,0.4173,170
805,0.4634,200
806,0.4193,166
807,0.3554,148
808,0.446,164
809,0.4341,188
810,0.3919,174
811,0.5217,204
812,0.3907,180
813,0.4215,158
814,0.384,164
815,0.3956,240
816,0.3874,236
817,0.4199,170
818,0.5376,232
819,0.4417,170
820,0.3718,156
821,0.3685,172
822,0.3951,164
823,0.5644,246
824,0.3762,172
825,0.4531,236
826,0.3888,156
827,0.4276,202
828,0.4624,200
829,0.438,180
830,0.3348,126
831,0.4995,196
832,0.3998,170
833,0.3851,188
834,0.4422,188
835,0.3997,188
836,0.4736,226
837,0.4283,192
838,0.421,200
839,0.33,164
840,0.348,158
841,0.4668,180
842,0.4359,184
843,0.3775,184
844,0.3169,164
845,0.3773,238
846,0.4789,200
847,0.4266,176
848,0.4291,180
849,0.3936,222
850,0.2978,140
851,0.4264,204
852,0.4921,224
853,0.3846,176
854,0.3818,198
855,0.3499,152
856,0.4482,196
857,0.4129,174
858,0.4707,220
859,0.3243,142
860,0.4409,216
861,0.3673,152
862,0.4778,200
863,0.4323,182
864,0.3774,182
865,0.3884,172
866,0.6135,306
867,0.388,190
868,0.3807,224
869,0.3714,142
870,0.3086,138
871,0.4737,204
872,0.3673,178
873,0.4646,222
874,0.3149,204
875,0.4555,164
876,0.5047,244
877,0.4513,200
878,0.471,208
879,0.4355,178
880,0.4103,176
881,0.5189,248
882,0.3781,162
883,0.4307,176
884,0.437,194
885,0.3518,156
886,0.472,194
887,0.4383,192
888,0.4261,212
889,0.5106,240
890,0.4758,218
891,0.4197,196
892,0.4466,220
893,0.4187,182
894,0.363,148
895,0.4139,196
896,0.446,188
897,0.5341,204
898,0.4763,214
899,0.3618,160
900,0.5427,232
901,0.5232,228
902,0.4327,216
903,0.3809,156
904,0.3814,184
905,0.3829,158
906,0.3996,198
907,0.3565,172
908,0.5344,212
909,0.4754,208
910,0.4068,172
911,0.369,170
912,0.4452,170
913,0.4616,190
