Cube Number,Solve Time (ms),Number of Moves
699,0.5886,164
700,0.5592,182
701,0.6468,207
702,0.7576,236
703,0.6445,193
704,0.5145,150
705,0.5888,164
706,0.5464,176
707,0.4548,196
708,0.7583,220
709,0.6549,223
710,0.6691,305
711,0.5679,149
712,0.8376,266
713,0.57,153
714,0.69,224
715,0.569,199
716,0.443,124
717,0.5538,173
718,0.6135,190
719,0.5703,187
720,0.6448,204
721,0.6929,206
722,0.552,183
723,0.669,206
724,0.6389,194
725,0.6123,187
726,0.5809,222
727,0.6914,217
728,0.7444,189
729,0.5961,177
730,0.5697,159
731,0.6243,188
732,0.6755,201
733,0.7936,234
734,0.645,210
735,0.465,150
736,0.7339,231
737,0.6858,204
738,0.6254,198
739,0.7011,216
740,0.8501,256
741,0.5744,191
742,0.6729,223
743,0.6837,211
744,0.6522,211
745,0.595,282
746,0.4726,128
747,0.7404,222
748,0.6128,172
749,0.5941,194
750,0.6385,198
751,0.5303,254
752,0.6558,205
753,0.7857,236
754,0.5632,159
755,0.3995,160
756,0.7336,231
757,0.5743,243
758,0.6781,197
759,0.4913,221
760,0.5795,190
761,0.6763,191
762,0.5218,195
763,0.5341,161
764,0.7188,223
765,0.4566,205
766,0.7016,296
767,0.6443,238
768,0.4383,207
769,0.5901,148
770,0.508,167
771,0.583,169
772,0.6236,181
773,0.699,210
774,0.4743,132
775,0.7699,224
776,0.7118,216
777,0.6986,246
778,0.5351,186
779,0.6161,162
780,0.4957,170
781,0.8008,241
782,0.596,175
783,0.7104,236
784,0.6559,207
785,0.6138,184
786,0.6518,203
787,0.6926,207
788,0.6272,178
789,0.5665,162
790,0.8452,252
791,0.7834,222
792,0.8429,277
793,0.6248,208
794,0.6866,242
795,0.6791,262
796,0.6913,188
797,0.5596,158
798,0.6845,199
799,0.5927,167
800,0.694,222
801,0.6776,197
802,0.5857,184
803,0.5066,142
804,0.6107,199
805,0.766,236
806,0.603,196
807,0.6653,210
808,0.634,192
809,0.609,188
810,0.6087,185
811,0.7021,229
812,0.7315,216
813,0.5912,168
814,0.8158,220
815,0.5926,205
816,0.7024,254
817,0.6364,193
818,0.4839,156
819,0.6697,211
820,0.72,201
821,0.8414,196
822,0.5642,130
823,0.5972,175
824,0.6291,174
825,0.7574,235
826,0.6422,187
