Cube Number,Solve Time (ms),Number of Moves
534,0.8336,300
535,0.9547,374
536,0.881,286
537,0.6984,296
538,1.0839,376
539,0.6787,274
540,0.7335,306
541,0.8003,332
542,0.6692,256
543,0.624,264
544,0.8424,320
545,0.5937,234
546,0.8288,274
547,0.7026,276
548,0.8425,338
549,0.9339,392
550,0.8113,346
551,0.7503,284
552,0.7958,314
553,0.8399,294
554,1.1262,378
555,0.7573,252
556,0.9018,312
557,0.9365,318
558,0.6685,276
559,0.5713,232
560,1.5519,356
561,0.7447,312
562,1.0626,470
563,0.9309,374
564,1.0155,328
565,0.64,222
566,0.6523,280
567,0.7987,314
568,1.2681,422
569,0.8898,378
570,0.5102,210
571,0.7262,290
572,1.0211,324
573,1.1537,386
574,0.7113,290
575,1.1844,392
576,0.7654,310
577,0.8043,334
578,1.0227,436
579,0.6877,294
580,0.618,248
581,0.9647,314
582,1.0847,374
583,0.6587,260
584,0.7218,284
585,0.8286,334
586,0.8311,346
587,0.576,236
588,0.8274,282
589,0.5116,212
590,0.7408,306
591,0.852,346
592,1.0029,312
593,0.91,328
594,0.8826,296
595,0.8981,350
596,0.8006,340
597,0.6641,258
598,0.8428,278
599,1.1707,370
600,0.6849,288
601,0.6257,266
602,0.8984,384
603,0.6675,254
604,0.8666,346
605,0.9321,280
606,0.759,318
607,0.8105,302
608,0.9885,332
609,0.6386,284
610,0.9295,408
611,0.851,358
612,0.722,300
613,0.6491,260
614,0.7621,322
615,0.6166,250
616,0.7717,318
617,0.6741,278
618,0.5655,218
619,1.0144,336
620,0.7791,298
621,0.9302,352
622,0.6336,226
623,0.8835,374
624,0.6556,260
625,0.6298,242
626,0.6047,258
627,1.0142,348
628,0.7742,322
629,0.7728,316
630,0.7652,332
631,0.6017,234
632,0.7197,296
633,0.6459,252
634,0.6586,268
635,0.6925,282
636,0.7297,300
637,0.7434,320
638,0.8249,320
639,0.6244,254
640,0.6418,254
641,0.7084,302
642,0.8661,358
643,0.7529,312
644,0.6844,224
645,0.7987,310
646,0.6858,280
647,0.7001,286
648,0.604,236
649,0.5704,224
650,0.9671,376
651,0.8405,278
652,0.8155,250
653,1.6611,396
654,1.0133,382
655,0.5844,236
656,0.8012,314
657,0.8437,258
658,0.8913,384
659,0.5604,220
660,0.9118,378
661,0.8442,284
662,0.6721,270
663,0.4984,186
664,0.9162,378
665,1.0744,368
666,0.6843,264
667,0.974,324
668,0.684,280
669,0.9039,366
670,0.9583,378
671,0.7177,284
672,0.7565,298
673,0.7597,346
674,0.6413,254
675,0.8303,324
676,1.0685,380
677,0.5249,212
678,0.8611,280
679,0.9202,370
680,0.733,294
681,0.6196,248
682,0.6008,266
683,0.6887,242
684,0.6556,282
685,0.668,240
686,0.773,316
687,0.6555,262
688,0.8078,348
689,0.6259,242
690,1.2613,428
691,1.0451,424
692,1.0368,428
693,0.9749,398
694,0.6531,280
695,0.8267,334
696,0.7001,266
697,0.7531,314
698,0.9981,356
699,0.7744,304
700,0.7121,282
701,0.8018,264
702,0.6786,266
703,0.8644,350
704,0.5797,236
705,0.6683,264
706,0.5718,230
707,1.0079,360
708,0.9101,360
709,0.6687,266
710,0.685,260
711,0.6916,270
712,0.9459,368
713,1.1043,358
714,0.7504,296
715,0.9989,320
716,0.9564,342
717,0.8871,306
718,1.0491,356
719,0.7983,294
720,0.9816,344
721,1.1488,452
722,1.16,316
723,0.8525,358
724,0.7448,256
725,1.8204,442
726,0.8278,282
727,0.5459,228
728,0.7038,278
729,0.7402,292
730,0.818,330
731,1.122,386
732,0.6063,270
733,0.587,224
734,0.8992,318
735,1.0266,350
736,0.8103,322
737,0.8373,354
738,0.8801,340
739,0.7149,284
740,0.8445,352
741,0.9094,302
742,0.6532,238
743,0.8664,292
744,0.6772,270
745,1.0037,346
746,0.6682,280
747,0.6564,272
748,1.1943,400
749,0.9586,392
750,0.7824,332
751,1.2672,418
752,0.6397,252
753,1.2401,428
754,0.6732,262
755,0.8644,342
756,1.1296,370
757,0.8427,306
758,0.8261,328
759,0.8289,330
760,0.8057,328
761,0.8909,376
762,0.8357,276
763,0.9125,394
764,0.8864,370
765,0.6187,250
766,1.0224,344
767,0.923,320
768,0.7455,260
769,0.65,274
770,0.6792,274
771,0.8715,352
772,0.9271,370
773,1.3193,428
774,1.0449,332
775,0.7471,314
776,0.5989,232
777,0.7358,296
778,0.8539,296
779,0.6978,282
780,0.7078,302
781,0.8117,274
782,0.8762,292
783,0.7873,344
784,0.6707,252
785,1.0669,352
786,0.8282,352
787,3.0003,356
788,1.3966,348
789,1.928,294
790,3.0743,266
791,3.2384,404
792,1.8084,374
793,1.2429,340
794,2.1186,378
795,1.9121,362
796,1.2459,286
797,4.1692,346
798,1.0043,330
799,1.0862,246
800,1.8082,320
801,3.3666,324
802,1.2599,312
803,1.1046,250
804,1.3207,354
805,1.6379,230
806,1.2048,314
807,0.747,300
808,2.5825,374
809,2.8186,298
810,1.2729,260
811,4.6308,306
812,1.3999,282
813,1.8487,268
814,2.3732,346
815,1.3802,240
816,3.3939,378
817,1.4999,286
818,0.7493,236
819,2.144,298
820,0.8495,352
821,1.1077,254
822,0.8369,346
823,1.2952,260
824,1.1315,266
825,2.2083,260
826,4.2972,358
827,1.7205,218
828,1.1844,258
829,3.2279,246
830,1.2201,244
831,2.6515,380
832,2.3174,284
833,2.3679,282
834,1.3972,362
835,0.9028,244
836,2.2645,416
837,1.5237,338
838,0.9715,196
839,1.7504,350
840,1.1389,254
841,1.0311,252
842,0.9769,216
843,0.7545,300
844,2.1028,296
845,1.8788,358
846,1.1376,272
847,1.2233,288
848,1.2561,264
849,0.7674,284
850,3.5309,416
851,2.0582,278
852,1.2542,382
853,2.0881,296
854,1.5391,318
855,1.3702,242
856,1.4824,306
857,1.6091,352
858,1.8915,296
859,0.9114,292
860,1.3405,306
861,1.3186,312
862,1.5149,376
863,1.9447,272
864,1.7628,380
865,2.4064,356
866,4.2775,350
867,1.4013,286
868,1.9575,340
869,1.9671,340
870,1.8007,326
871,2.269,330
872,1.9305,266
873,1.357,224
874,1.2582,242
875,1.3825,290
876,1.3316,292
877,1.697,390
878,1.5777,334
879,1.2895,282
880,1.3189,296
881,1.0997,278
882,0.9236,246
883,2.7358,334
884,1.2392,288
885,1.4353,262
886,1.5957,336
887,3.7707,276
888,1.0568,306
889,2.2105,412
890,1.4894,304
891,1.4191,376
892,4.1189,278
893,1.0462,198
894,0.699,234
895,1.9055,346
896,0.8795,362
897,1.745,322
898,1.0419,432
899,2.1084,300
900,0.7258,286
901,0.7392,302
902,0.8222,346
903,5.6314,322
904,2.1448,398
905,2.1936,258
906,0.9498,202
907,0.9739,228
908,1.1982,294
909,1.7594,408
910,3.1542,366
911,1.425,258
912,1.1994,228
913,1.2455,282
914,1.7959,356
915,2.3471,282
916,1.5628,294
917,1.686,362
918,1.839,296
919,2.4064,404
920,1.6025,260
921,1.9842,276
922,2.4402,350
923,2.1765,352
924,1.3472,344
925,1.5162,314
926,1.3537,262
927,1.8166,230
928,1.2622,300
929,1.2621,240
930,1.5507,346
931,0.6168,266
932,1.8397,388
933,0.8482,330
934,1.5215,318
935,0.6272,262
936,1.2624,284
937,2.1582,378
938,1.5856,338
939,1.6791,340
940,1.4312,310
941,0.9884,206
942,1.0486,238
943,1.12,264
944,2.262,306
945,1.5553,280
946,5.3216,390
947,1.5691,226
948,1.6712,364
949,1.2767,300
950,1.4853,320
951,0.87,346
952,1.891,258
953,0.5951,220
954,1.4134,318
955,0.9425,210
956,1.4005,260
957,1.5836,304
958,1.5637,310
959,5.5833,382
960,2.0188,346
961,5.1214,290
962,1.5723,292
963,1.0511,218
964,1.9381,362
965,1.6905,342
966,1.0609,390
967,2.2677,302
968,2.2772,398
969,1.5772,344
970,0.8498,314
971,1.4797,312
972,0.8864,332
973,1.4293,326
974,0.5213,214
975,3.9539,338
976,2.0314,258
977,1.3961,338
978,3.1531,298
979,2.5162,342
980,2.0946,432
981,2.3745,338
982,1.6319,334
983,3.5369,414
984,1.6517,270
985,2.8075,334
986,3.0406,278
987,3.3388,352
988,3.7891,292
989,1.9661,276
990,2.7171,294
991,3.8582,372
992,1.8791,248
993,1.4112,354
994,1.524,304
995,2.5168,464
996,2.0737,314
997,5.1099,370
998,1.4468,302
999,1.0767,240
